Group,Image Name,Prolif MG,MG,Total Cells,Prolif Cells,Percent_MG_Proliferating,Percent_Microglia,Percent_Proliferating
1d,'1dM2S3_Series001_composite.tiff',17,2157,3988,197,0.007881317,0.540872618,0.049398195
1d,'1dM2s1_Series002.tif',15,2819,575,70,0.005321036,4.902608696,0.12173913
1d,'1dM2s1_Series003.tif',16,2617,388,61,0.006113871,6.744845361,0.157216495
1d,'GroupA_1.tif',39,3144,641,82,0.01240458,4.904836193,0.127925117
1d,'GroupA_3.tif',27,4130,566,54,0.00653753,7.296819788,0.09540636
3d,'3dM1S1_Series001_composite.tiff',5,1967,3140,134,0.002541942,0.626433121,0.042675159
3d,'3dM1S1_Series002_composite.tiff',7,2691,2623,158,0.002601263,1.025924514,0.060236371
3d,'3dM2S1_Series01.tif',7,3292,1595,37,0.002126367,2.063949843,0.023197492
3d,'3dM2S2_Series002_composite.tiff',6,2780,471,6,0.002158273,5.902335456,0.012738854
3d,'3dM2s1_Series002.tif',18,2911,447,133,0.006183442,6.512304251,0.29753915
3d,'3dM3s1_Series001.tif',11,2781,460,37,0.003955412,6.045652174,0.080434783
3d,'3dM3s1_Series002.tif',21,3017,2860,103,0.006960557,1.054895105,0.036013986
3d,'3dM3s1_Series004.tif',24,3060,387,75,0.007843137,7.906976744,0.19379845
3d,'3dM3s1_Series008.tif',40,3304,410,210,0.012106538,8.058536585,0.512195122
3d,'3dM3s1_Series011.tif',26,3353,370,222,0.00775425,9.062162162,0.6
3d,'GroupB_2.tif',31,3407,399,151,0.009098914,8.538847118,0.378446115
3d,'GroupB_3.tif',20,3129,350,74,0.006391818,8.94,0.211428571
3d,'GroupB_4.tif',25,3091,427,165,0.008087997,7.238875878,0.386416862
3d,'GroupB_5.tif',24,2982,473,47,0.00804829,6.304439746,0.099365751
3d,'MAX_3dM2.tif',25,3265,579,36,0.007656968,5.639032815,0.062176166
3d,'GroupC_1.tif',25,2631,418,32,0.00950209,6.294258373,0.076555024
3d,'GroupC_2.tif',22,3638,744,11,0.006047279,4.889784946,0.014784946
3d,'GroupC_3.tif',50,3478,969,516,0.014376078,3.589267286,0.53250774
3d,'GroupC_4.tif',20,3424,1148,18,0.005841121,2.982578397,0.015679443
3d,'GroupC_5.tif',21,3829,733,15,0.005484461,5.223738063,0.020463847
Naive,'NaiveM1S2_Series001_composite.tiff',3,4634,3016,12,0.000647389,1.536472149,0.00397878
Naive,'NaiveM1S2_Series002_composite.tiff',4,4004,3403,13,0.000999001,1.176608875,0.003820159
Naive,'NaiveM2S2_Series001_composite.tiff',1,3536,3164,15,0.000282805,1.117572693,0.004740834
Naive,'NaiveM2S2_Series002_composite.tiff',0,2179,4149,27,0,0.525186792,0.006507592
Naive,'NaiveM2S2_Series003_composite.tiff',4,2660,3309,9,0.001503759,0.803868238,0.002719855
Naive,'NaiveM2S2_Series004_composite.tiff',5,2752,4117,27,0.00181686,0.668447899,0.006558173
Naive,'NaiveM3S1_Series001_composite.tiff',6,3260,4251,19,0.001840491,0.766878382,0.004469537
Naive,'NaiveM3S1_Series002_composite.tiff',5,3073,2718,39,0.001627075,1.130610743,0.014348786
